freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.2248,0.3323,0.2304,0.0007,0.1012,58,47
0.35,0.2596,0.3963,0.1882,0.0284,0.1797,62,51
0.3,0.2307,0.4155,0.2341,0.0011,0.1803,68,56
0.25,0.2631,0.4133,0.1974,0.0018,0.2142,117,95
0.2,0.2453,0.4573,0.2978,0.0047,0.1547,190,153
0.15,0.3464,1.2458,0.4944,0.0764,0.6750,424,340
0.1,0.6026,1.4227,0.6513,0.0223,0.7490,844,632
0.05,2.9143,6.1629,2.7465,0.0084,3.4080,3607,1754
