freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.3189,0.3290,0.3177,0.0008,0.0106,56,44
0.35,0.3953,0.3349,0.3056,0.0007,0.0286,65,52
0.3,0.4578,0.4602,0.4014,0.0039,0.0549,120,85
0.25,0.5161,0.9723,0.5760,0.0207,0.3756,239,150
0.2,0.7754,1.7165,0.7885,0.0185,0.9094,915,284
0.15,1.6382,4.7504,1.6916,0.0067,3.0520,4152,654
0.1,4.7510,13.5298,4.8491,0.0444,8.6364,14486,1248
