freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.1861,0.2749,0.2375,0.0013,0.0361,83,75
0.35,0.2026,0.3734,0.3265,0.0103,0.0366,101,89
0.3,0.1909,0.3819,0.2456,0.0033,0.1330,144,126
0.25,0.2178,0.6141,0.2554,0.0158,0.3429,207,183
0.2,0.2807,0.6241,0.2586,0.0095,0.3560,331,281
0.15,0.3806,1.3054,0.3603,0.0182,0.9269,671,524
0.1,0.4776,2.3801,0.5407,0.0405,1.7989,1361,1021
0.05,4.4689,91.2084,4.5656,0.1054,86.5374,9720,4213
