freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.2229,0.2639,0.2322,0.0015,0.0303,72,71
0.35,0.2191,0.3486,0.2966,0.0118,0.0402,87,86
0.3,0.2448,0.3563,0.2651,0.0083,0.0829,127,125
0.25,0.2450,0.6202,0.2895,0.0072,0.3234,198,191
0.2,0.2992,0.6968,0.2967,0.0162,0.3840,326,300
0.15,0.4521,1.1410,0.4277,0.0296,0.6836,626,549
0.1,0.7503,2.8599,0.7286,0.0137,2.1176,1817,1380
0.05,4.8544,68.5798,4.9885,0.1780,63.4133,18360,4946
