freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.2333,0.4306,0.2464,0.0441,0.1400,130,85
0.35,0.2423,0.5883,0.2372,0.0034,0.3477,171,108
0.3,0.2326,0.5799,0.2420,0.0150,0.3229,253,153
0.25,0.2905,0.7285,0.3061,0.0308,0.3915,377,212
0.2,0.2926,1.0072,0.3579,0.0123,0.6370,629,331
0.15,0.7700,2.1829,0.7697,0.0036,1.4096,1307,688
0.1,4.0520,30.0992,4.2675,0.0595,25.7723,6406,2187
