freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.0190,2.5658,2.5461,0.0154,0.0044,13,13
0.35,0.0265,2.7835,2.7826,0.0002,0.0008,19,19
0.3,0.0358,2.7066,2.7056,0.0002,0.0008,31,31
0.25,0.0484,2.6804,2.6774,0.0002,0.0027,58,58
0.2,0.0513,2.7754,2.7650,0.0005,0.0099,105,105
0.15,0.0846,2.7736,2.7699,0.0004,0.0033,162,162
0.1,0.1289,2.8611,2.8486,0.0003,0.0122,300,300
0.05,0.1698,3.2400,3.2350,0.0015,0.0035,1248,1248
0.025,0.3146,4.2942,4.2523,0.0019,0.0399,3404,3404
