freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.0059,1.4008,1.3996,0.0002,0.0010,14,14
0.35,0.0230,1.7749,1.7689,0.0003,0.0057,23,23
0.3,0.0159,1.5587,1.5571,0.0005,0.0012,40,40
0.25,0.0227,1.7115,1.7093,0.0009,0.0013,70,70
0.2,0.0271,1.6046,1.6019,0.0011,0.0016,104,104
0.15,0.0448,1.6137,1.5996,0.0059,0.0082,168,168
0.1,0.0691,1.7657,1.7228,0.0158,0.0271,347,347
0.05,0.1500,2.0041,1.8610,0.0292,0.1140,1350,1350
0.025,0.2412,2.1963,2.0049,0.0032,0.1883,3734,3734
