freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.4,0.0233,1.4680,1.4671,0.0001,0.0007,2,2
0.35,0.0132,1.3070,1.3059,0.0001,0.0011,2,2
0.3,0.0188,1.4650,1.4643,0.0001,0.0005,4,4
0.25,0.0181,1.4876,1.4867,0.0001,0.0008,6,6
0.2,0.0211,1.4509,1.4476,0.0001,0.0031,10,10
0.15,0.0273,1.4068,1.4052,0.0001,0.0015,20,20
0.1,0.0420,1.5124,1.5107,0.0002,0.0016,61,60
0.05,0.1068,1.8240,1.7798,0.0010,0.0433,627,582
0.025,1.5384,33.0377,4.0342,0.0258,28.9777,20701,17137
