# support closed-eclat  python-post-process     eclat+IDP
10	2.07686424255	19867.9959774
#12	2.70700454712	7293.98107529
#14	2.65312194824	5844.67315674
15  2.58343235232   4584.52346223
#16	2.56490707397	2498.92091751
#18	2.34007835388	1505.05590439
20	2.33888626099	532.737016678
#22	2.3181438446	146.56496048
#24	2.35390663147	68.363904953
25  2.35390663147   49.232532455
#26	2.46500968933	22.6471424103
#28	2.27904319763	12.5949382782
30	4.14109230042	6.45399093628
#32	2.23994255066	7.46011734009
#34	4.25887107849	5.52701950073
#36	2.16102600098	5.038022995
#38	2.20704078674	6.6339969635
40	2.14385986328	8.56590270996
#42	2.12097167969	4.51493263245
#44	2.31599807739	4.5280456543
#46	2.51197814941	4.50301170349
#48	1.98483467102	4.17494773865
#50	2.14600563049	5.8069229126
