freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0076,0.0378,0.0094,0.0091,0.0194,173,122
0.45,0.0297,0.1007,0.0327,0.0083,0.0598,294,186
0.4,0.0312,0.2066,0.0679,0.0036,0.1351,526,283
0.35,0.0412,0.1650,0.0465,0.0050,0.1134,1638,464
0.3,0.0209,0.2885,0.0467,0.0015,0.2402,5243,715
0.25,0.0286,0.3837,0.1097,0.0089,0.2652,14853,1038
0.2,0.0414,0.6734,0.2303,0.0670,0.3760,29258,1512
0.15,0.0502,1.1211,0.4334,0.0214,0.6663,56368,2157
0.1,0.0467,2.8846,0.9234,0.0571,1.9040,133165,2910
