freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0414,0.0586,0.0402,0.0003,0.0181,407,407
0.45,0.0316,0.0552,0.0317,0.0002,0.0233,739,737
0.4,0.0489,0.0789,0.0475,0.0007,0.0307,1332,1317
0.35,0.0574,0.1125,0.0423,0.0010,0.0692,2343,2276
0.3,0.0498,0.2931,0.0872,0.0023,0.2037,4273,4032
0.25,0.0967,0.5017,0.1442,0.0090,0.3484,7903,7143
0.2,0.1348,1.3428,0.3641,0.0119,0.9669,14861,12620
0.15,0.3125,4.8780,0.2365,0.0075,4.6340,31308,23803
0.1,0.3781,20.6704,0.6079,0.0507,20.0118,71946,44744
