freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0520,0.0832,0.0575,0.0011,0.0245,1725,1079
0.45,0.0684,0.1458,0.0797,0.0027,0.0634,4446,2363
0.4,0.0934,0.3253,0.1173,0.0021,0.2059,11763,5199
0.35,0.1562,1.6009,0.6783,0.0076,0.9149,33065,11729
0.3,0.2562,5.3699,0.7629,0.1668,4.4402,96229,26825
0.25,0.4626,39.8519,1.5926,0.2730,37.9863,313890,65994
