freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0594,0.0603,0.0593,0.0001,0.0009,3,3
0.45,0.0672,0.0545,0.0505,0.0000,0.0040,5,5
0.4,0.0634,0.0495,0.0481,0.0001,0.0014,7,7
0.35,0.0648,0.0486,0.0469,0.0001,0.0016,11,11
0.3,0.0686,0.0703,0.0550,0.0001,0.0152,16,16
0.25,0.0669,0.0792,0.0671,0.0001,0.0121,79,79
0.2,0.1967,0.1246,0.1150,0.0002,0.0094,238,238
0.15,0.2103,0.1362,0.1174,0.0004,0.0183,494,494
0.1,0.2270,0.2082,0.1327,0.0044,0.0712,2068,2067
