freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0259,0.0562,0.0347,0.0002,0.0214,204,96
0.45,0.0325,0.0433,0.0286,0.0004,0.0144,324,141
0.4,0.0440,0.0747,0.0352,0.0035,0.0360,664,220
0.35,0.0326,0.0751,0.0455,0.0032,0.0265,1548,343
0.3,0.0425,0.0959,0.0562,0.0014,0.0383,2538,483
0.25,0.0456,0.1100,0.0526,0.0014,0.0560,4359,735
0.2,0.0473,0.1761,0.0790,0.0014,0.0957,8033,1183
0.15,0.0534,0.3287,0.1299,0.0038,0.1950,15296,2092
0.1,0.3288,0.9614,0.2929,0.0206,0.6479,37419,4122
