freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0538,0.0340,0.0301,0.0001,0.0039,1,1
0.45,0.0377,0.0276,0.0262,0.0001,0.0013,3,3
0.4,0.0317,0.0362,0.0351,0.0001,0.0010,8,8
0.35,0.0322,0.0535,0.0408,0.0002,0.0125,15,15
0.3,0.0229,0.0445,0.0423,0.0001,0.0021,25,25
0.25,0.0337,0.0318,0.0266,0.0001,0.0051,38,38
0.2,0.0435,0.0372,0.0285,0.0001,0.0087,51,51
0.15,0.0280,0.0484,0.0404,0.0002,0.0078,164,163
0.1,0.0300,0.0616,0.0467,0.0003,0.0146,336,334
