freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0246,0.0273,0.0257,0.0000,0.0016,9,9
0.45,0.0271,0.0396,0.0382,0.0001,0.0014,16,16
0.4,0.0254,0.0426,0.0264,0.0001,0.0160,49,45
0.35,0.0347,0.0558,0.0422,0.0012,0.0124,149,132
0.3,0.0358,0.0612,0.0260,0.0003,0.0349,464,399
0.25,0.0389,0.1261,0.0413,0.0008,0.0840,1769,1517
0.2,0.0716,0.3922,0.0782,0.0018,0.3122,6524,5328
0.15,0.1067,1.0393,0.1582,0.0126,0.8684,15841,10750
0.1,0.2674,8.9663,0.5829,0.0139,8.3695,47126,27120
