freq,specialised,postpro,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
0.5,0.0575,0.0631,0.0525,0.0001,0.0104,161,49
0.45,0.0502,0.0629,0.0605,0.0001,0.0023,293,79
0.4,0.0635,0.0587,0.0536,0.0002,0.0049,459,131
0.35,0.0689,0.0811,0.0623,0.0010,0.0179,1041,247
0.3,0.0573,0.0991,0.0634,0.0008,0.0350,2503,426
0.25,0.0538,0.3415,0.2825,0.0038,0.0552,4905,652
0.2,0.0734,0.5781,0.2847,0.0083,0.2851,28421,1116
0.15,0.0980,1.3596,0.6444,0.0335,0.6817,56289,2138
0.1,0.1123,4.6478,1.7759,0.1150,2.7569,298751,4564
