dataset,step1,step2,step3,num_of_freq_patterns,num_of_final_patterns
iprg_neg.dat,0.0215,0.0027,2.4424,3404,2827
iprg_pos.dat,0.0125,0.0024,2.2396,3404,2827
jmlr.dat,0.0213,0.0026,2.0007,3404,2827
unix_users_neg.dat,0.0181,0.0024,1.6024,3404,2827
unix_users_pos.dat,0.0163,0.0021,1.4999,3404,2827
fifa.dat,0.0117,0.0022,1.6863,3404,2827
